"No.","Time","Source","Destination","Protocol","Length","Info"
"64","148.031846","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"65","150.694829","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"66","152.576634","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"67","155.530640","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"68","158.658446","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"69","161.826792","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"70","164.494660","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"71","167.384664","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"72","169.987438","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"73","171.886994","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"74","175.492063","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"75","178.868695","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"76","181.249257","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"77","183.922314","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"78","186.088631","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"79","186.089103","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"80","188.805959","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"81","190.374199","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"82","193.302887","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"83","196.508810","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"84","199.821242","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"85","202.719215","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"86","205.434780","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"87","208.133021","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"88","210.575980","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"89","213.201306","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"90","217.710960","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"91","221.257073","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"92","223.609116","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"93","226.642210","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"94","230.007551","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"95","232.363154","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"96","234.898716","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"97","237.061466","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"98","240.684624","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"99","242.245368","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"100","243.170254","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"101","243.374453","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"102","246.132644","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"103","248.570773","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"104","250.574733","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"105","250.726422","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"106","250.986693","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"107","253.800416","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"108","256.149825","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"109","257.102697","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"110","259.181999","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"111","261.522650","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"112","262.309503","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
"113","264.710585","127.0.0.1","127.0.0.1","UDP","47","54841  >  13337 Len=15"
